date,prcp,srad,tmax,tmin,vprp
1980-01-01,0.0,248.66,5.86,-8.33,336.33
1980-01-02,0.0,148.45,3.95,-6.35,348.7
1980-01-03,0.0,101.93,-1.25,-6.01,359.1
1980-01-04,0.0,143.34,0.07,-5.29,367.35
1980-01-05,0.0,228.38,0.63,-9.49,291.81
1980-01-06,0.0,217.51,-0.04,-9.2,269.81
1980-01-07,0.0,222.44,-2.21,-14.49,193.14
1980-01-08,0.0,212.8,-4.8,-13.58,188.13
1980-01-09,0.0,237.76,-4.31,-14.46,197.86
1980-01-10,0.0,278.17,10.91,-9.05,302.94
1980-01-11,0.0,278.51,11.64,-8.49,322.87
1980-01-12,0.0,274.8,8.13,-10.87,314.14
1980-01-13,0.0,253.16,13.24,0.6,591.39
1980-01-14,0.0,269.48,14.19,-1.23,617.16
1980-01-15,6.55,161.06,13.11,3.92,764.01
1980-01-16,4.1,163.51,11.08,0.07,621.75
1980-01-17,0.64,256.63,7.43,-4.65,455.62
1980-01-18,10.74,207.81,10.16,-3.41,477.78
1980-01-19,4.87,198.93,8.87,-3.14,474.35
1980-01-20,0.43,163.81,6.06,-5.62,395.16
1980-01-21,0.01,203.9,3.94,-3.07,448.92
1980-01-22,0.0,189.36,3.37,-2.99,451.1
1980-01-23,0.0,260.08,3.86,-5.58,409.5
1980-01-24,0.0,277.95,9.55,-1.64,511.92
1980-01-25,1.82,214.22,9.32,-2.54,475.04
1980-01-26,0.97,263.67,5.49,-14.08,225.36
1980-01-27,0.13,277.28,-3.59,-16.47,152.46
1980-01-28,0.0,235.39,-9.07,-14.95,157.25
1980-01-29,1.5,242.98,-7.21,-16.37,149.03
1980-01-30,1.64,180.65,-8.08,-13.98,157.7
1980-01-31,0.38,366.47,-9.3,-23.89,88.12
1980-02-01,0.0,371.94,-5.05,-21.88,100.44
1980-02-02,0.0,343.55,-0.76,-12.31,194.21
1980-02-03,1.64,229.91,-1.1,-9.07,252.19
1980-02-04,2.99,220.21,-2.5,-10.01,254.65
1980-02-05,0.82,285.37,1.31,-5.94,303.71
1980-02-06,0.0,328.36,-0.53,-10.92,229.89
1980-02-07,4.27,241.93,-3.44,-12.74,202.92
1980-02-08,1.5,233.38,-3.57,-9.27,230.87
1980-02-09,0.03,380.0,-5.54,-18.52,138.34
1980-02-10,0.0,400.12,-0.18,-15.99,144.27
1980-02-11,0.0,393.64,-1.29,-14.78,152.23
1980-02-12,0.0,411.17,-1.74,-19.54,134.06
1980-02-13,0.0,364.82,1.37,-8.64,252.37
1980-02-14,0.61,206.87,0.45,-5.92,318.34
1980-02-15,1.0,246.87,-1.84,-9.4,250.81
1980-02-16,0.27,365.64,-4.97,-16.18,148.35
1980-02-17,0.0,430.12,-4.17,-21.71,110.05
1980-02-18,0.0,411.37,1.24,-11.06,210.7
1980-02-19,0.0,338.82,4.32,-3.51,335.96
1980-02-20,0.41,207.65,3.74,-1.76,426.13
1980-02-21,0.2,147.93,2.91,-0.0,492.44
1980-02-22,0.05,278.8,5.76,-0.33,452.62
1980-02-23,0.01,240.32,4.75,-1.65,408.61
1980-02-24,0.0,413.58,8.23,-3.33,320.67
1980-02-25,0.0,441.27,6.88,-7.56,243.15
1980-02-26,0.0,431.63,6.61,-7.04,251.2
1980-02-27,0.0,441.99,11.9,-2.82,315.11
1980-02-28,0.0,425.2,9.58,-3.43,292.57
1980-02-29,0.67,418.04,4.58,-13.94,194.61
1980-03-01,1.34,407.34,-5.81,-19.94,96.59
1980-03-02,0.01,478.19,-3.81,-21.04,99.31
1980-03-03,0.0,458.02,3.93,-9.2,199.7
1980-03-04,2.03,341.35,3.98,-7.39,238.76
1980-03-05,0.68,423.0,0.82,-14.04,164.39
1980-03-06,0.97,397.53,4.41,-10.76,212.97
1980-03-07,7.53,261.85,4.31,-3.37,347.38
1980-03-08,2.57,353.48,3.5,-4.64,333.6
1980-03-09,0.06,476.96,9.33,-4.25,323.32
1980-03-10,0.0,459.07,9.36,-2.51,349.33
1980-03-11,0.88,320.26,6.73,-5.32,339.63
1980-03-12,2.83,173.86,2.57,-2.41,410.63
1980-03-13,2.27,296.43,2.92,-3.64,371.43
1980-03-14,0.47,500.29,15.34,-3.84,360.03
1980-03-15,0.0,496.0,18.84,0.88,472.9
1980-03-16,0.0,476.74,19.59,3.03,527.14
1980-03-17,0.0,464.08,15.75,-2.29,399.82
1980-03-18,0.0,493.64,17.53,-1.51,436.37
1980-03-19,0.66,377.44,20.77,4.8,640.95
1980-03-20,0.23,448.85,19.72,3.78,578.77
1980-03-21,0.0,492.56,15.69,-3.12,398.89
1980-03-22,0.0,488.02,17.61,1.4,471.39
1980-03-23,5.05,371.51,16.7,-0.53,472.47
1980-03-24,2.09,291.39,13.44,-1.49,439.35
1980-03-25,0.43,263.78,3.74,-4.32,398.48
1980-03-26,2.44,188.65,4.95,-0.04,523.61
1980-03-27,2.86,218.76,8.17,2.27,630.84
1980-03-28,13.56,145.35,8.15,4.45,729.49
1980-03-29,31.56,168.04,7.42,3.18,681.88
1980-03-30,16.86,210.86,6.11,0.12,579.96
1980-03-31,3.33,302.94,8.82,0.22,589.9
1980-04-01,1.34,249.35,9.96,3.61,706.41
1980-04-02,17.45,174.19,8.79,3.28,715.19
1980-04-03,6.1,191.97,7.14,2.89,685.48
1980-04-04,0.14,482.34,12.32,0.68,599.22
1980-04-05,0.96,397.23,18.41,1.07,670.7
1980-04-06,0.39,459.43,20.71,6.43,849.82
1980-04-07,0.02,506.53,20.49,6.33,863.41
1980-04-08,0.0,467.18,18.33,7.34,865.14
1980-04-09,0.0,480.96,15.56,3.36,700.88
1980-04-10,3.25,406.5,18.17,0.68,633.33
1980-04-11,12.45,406.02,18.64,0.51,623.36
1980-04-12,3.79,471.18,15.2,1.31,586.83
1980-04-13,0.0,535.58,12.11,-2.54,476.28
1980-04-14,0.0,533.84,11.95,-1.93,520.72
1980-04-15,0.0,500.34,16.8,4.52,763.48
1980-04-16,2.54,355.43,18.15,7.59,940.84
1980-04-17,2.22,249.11,16.34,7.56,919.74
1980-04-18,0.46,511.2,18.22,3.59,753.31
1980-04-19,0.0,552.38,25.09,6.06,877.19
1980-04-20,0.0,540.8,30.05,10.29,1117.98
1980-04-21,0.0,538.34,32.31,12.06,1337.5
1980-04-22,0.0,478.87,31.54,18.51,1649.33
1980-04-23,0.0,545.82,29.09,9.72,1091.31
1980-04-24,0.0,541.74,25.49,4.75,758.2
1980-04-25,0.0,559.17,18.17,1.76,674.3
1980-04-26,0.0,466.44,17.73,7.84,849.88
1980-04-27,0.0,540.08,18.66,4.22,748.96
1980-04-28,0.0,560.81,23.78,5.51,769.03
1980-04-29,0.0,574.26,23.8,2.33,722.85
1980-04-30,0.0,546.91,25.89,8.81,931.62
1980-05-01,0.0,553.53,24.13,6.83,868.35
1980-05-02,0.0,563.45,26.09,6.22,889.02
1980-05-03,0.0,525.72,28.15,11.13,1072.34
1980-05-04,0.0,567.2,28.49,6.83,929.87
1980-05-05,0.02,554.33,29.42,9.64,1022.24
1980-05-06,0.02,533.16,28.58,9.47,1012.27
1980-05-07,0.0,558.14,26.71,7.58,852.95
1980-05-08,0.0,572.26,22.99,-0.06,569.22
1980-05-09,0.02,539.17,20.47,1.24,683.16
1980-05-10,0.02,504.7,28.2,12.24,1091.75
1980-05-11,0.06,511.43,26.52,6.89,903.67
1980-05-12,0.02,500.14,23.16,7.82,883.46
1980-05-13,0.0,506.97,21.04,7.87,851.16
1980-05-14,0.0,578.28,23.24,3.24,737.56
1980-05-15,2.01,405.51,23.72,8.29,963.11
1980-05-16,12.5,382.79,23.52,9.56,1066.58
1980-05-17,7.19,193.3,21.71,10.2,1124.22
1980-05-18,1.09,252.53,15.23,9.66,1088.79
1980-05-19,0.0,438.67,21.58,10.92,1101.43
1980-05-20,4.01,400.37,23.99,8.98,1039.37
1980-05-21,1.34,553.65,25.83,8.36,1000.78
1980-05-22,0.0,523.81,26.39,11.72,1136.17
1980-05-23,0.0,549.87,26.64,9.84,1088.43
1980-05-24,0.0,533.51,28.02,12.39,1267.19
1980-05-25,0.0,512.5,31.39,16.44,1616.92
1980-05-26,4.19,349.86,31.77,19.24,1929.91
1980-05-27,1.4,426.09,29.96,18.37,1769.01
1980-05-28,0.6,457.51,28.79,15.08,1621.92
1980-05-29,1.33,327.74,31.36,20.32,1966.53
1980-05-30,0.41,480.63,30.83,14.25,1476.97
1980-05-31,33.86,394.72,28.35,12.45,1360.26
1980-06-01,20.67,337.85,25.74,14.8,1549.68
1980-06-02,3.16,459.98,27.87,16.37,1639.07
1980-06-03,0.01,495.73,28.88,15.9,1664.87
1980-06-04,0.13,405.34,29.84,18.68,1915.12
1980-06-05,0.04,504.72,34.15,18.84,2051.94
1980-06-06,0.0,415.2,34.17,23.84,2480.11
1980-06-07,0.0,435.25,32.57,21.69,2106.36
1980-06-08,0.0,555.48,29.28,9.32,1182.61
1980-06-09,0.0,561.7,27.34,10.47,1153.64
1980-06-10,0.0,562.55,30.11,12.05,1296.23
1980-06-11,0.0,544.94,31.37,14.83,1535.07
1980-06-12,0.0,490.58,31.22,18.59,1859.93
1980-06-13,0.0,499.96,34.53,20.19,2066.95
1980-06-14,0.0,504.11,36.01,20.81,2107.75
1980-06-15,0.0,492.52,33.18,18.84,1853.7
1980-06-16,0.0,467.83,28.73,15.58,1522.71
1980-06-17,0.0,542.26,28.36,12.53,1397.67
1980-06-18,0.14,445.96,31.68,17.35,1725.19
1980-06-19,0.12,474.15,30.28,16.43,1617.35
1980-06-20,1.73,354.82,26.43,13.32,1390.59
1980-06-21,5.39,404.89,27.73,12.02,1378.55
1980-06-22,7.66,394.92,30.13,15.14,1580.07
1980-06-23,2.41,462.98,29.08,15.51,1623.32
1980-06-24,0.13,515.81,32.53,17.62,1799.25
1980-06-25,0.0,507.0,33.9,19.26,2003.98
1980-06-26,0.0,497.27,36.69,21.53,2299.38
1980-06-27,0.0,494.46,41.28,23.84,2464.16
1980-06-28,0.0,536.04,39.72,19.27,1856.54
1980-06-29,0.0,567.82,35.53,12.78,1353.58
1980-06-30,0.0,541.71,34.89,17.32,1683.27
1980-07-01,5.42,368.14,36.27,21.99,2138.58
1980-07-02,11.74,393.46,34.1,17.46,1719.23
1980-07-03,3.52,409.13,31.27,14.94,1540.69
1980-07-04,2.77,389.54,35.22,18.61,1841.96
1980-07-05,0.94,460.61,35.64,19.61,1925.13
1980-07-06,0.01,506.99,37.8,21.07,2063.84
1980-07-07,0.0,495.84,39.48,23.18,2303.73
1980-07-08,0.01,463.07,39.28,23.8,2447.85
1980-07-09,0.0,476.39,41.12,25.19,2549.1
1980-07-10,0.65,461.35,40.53,22.54,2320.67
1980-07-11,0.22,502.55,41.34,23.48,2292.06
1980-07-12,0.1,456.75,40.78,23.43,2280.84
1980-07-13,0.03,522.82,41.02,21.11,2144.61
1980-07-14,0.03,417.94,42.56,25.55,2585.36
1980-07-15,0.01,501.51,42.63,23.49,2324.28
1980-07-16,0.0,508.45,40.49,22.37,2068.19
1980-07-17,0.0,544.15,40.38,17.95,1768.23
1980-07-18,0.0,507.78,40.48,22.37,2021.63
1980-07-19,0.0,531.18,40.4,19.2,1926.33
1980-07-20,8.45,361.57,40.26,23.9,2345.02
1980-07-21,4.5,403.6,37.32,17.72,1765.71
1980-07-22,0.56,531.28,33.24,13.42,1279.15
1980-07-23,0.0,554.63,31.35,11.84,1225.2
1980-07-24,0.05,471.78,35.14,16.7,1620.46
1980-07-25,0.77,364.63,34.62,19.28,1826.92
1980-07-26,0.25,499.51,31.73,14.87,1385.42
1980-07-27,0.0,555.72,32.03,11.59,1220.35
1980-07-28,0.0,541.73,37.97,16.03,1519.83
1980-07-29,0.0,528.67,38.77,17.95,1855.13
1980-07-30,0.0,446.04,40.48,25.74,2496.24
1980-07-31,0.01,451.48,38.02,20.03,2023.76
1980-08-01,2.19,382.67,38.42,19.07,2032.07
1980-08-02,0.76,405.59,37.1,22.43,2227.92
1980-08-03,2.43,372.59,37.01,19.26,1993.93
1980-08-04,1.12,389.01,36.62,16.83,1730.05
1980-08-05,18.63,358.5,33.62,14.46,1571.97
1980-08-06,6.96,414.92,33.63,19.46,2034.12
1980-08-07,0.26,426.05,37.11,23.87,2528.12
1980-08-08,0.0,420.4,38.25,24.85,2650.86
1980-08-09,1.07,350.86,37.93,21.53,2407.41
1980-08-10,13.86,350.53,37.11,20.94,2226.87
1980-08-11,4.78,421.79,34.39,17.02,1805.33
1980-08-12,0.09,478.88,32.07,17.1,1786.79
1980-08-13,0.0,480.66,36.58,19.71,2036.62
1980-08-14,13.75,364.09,36.47,18.9,2091.84
1980-08-15,16.63,135.09,34.15,19.53,2132.77
1980-08-16,7.38,326.88,32.6,20.19,2138.02
1980-08-17,3.78,410.56,32.33,17.28,1902.62
1980-08-18,0.89,455.15,33.97,19.52,2090.42
1980-08-19,0.0,430.21,35.52,22.19,2392.77
